legId                            ,searchDate ,totalFare
17bb0a98e1d4c278b26844d497613a21 ,2022-04-16 ,   598.61
17bb0a98e1d4c278b26844d497613a21 ,2022-04-17 ,   598.61
17bb0a98e1d4c278b26844d497613a21 ,2022-04-18 ,   598.61
17bb0a98e1d4c278b26844d497613a21 ,2022-04-19 ,   998.6
aa45eee427f431747c76aac3b16e77ed ,2022-04-17 ,   668.6
aa45eee427f431747c76aac3b16e77ed ,2022-04-19 ,   998.6
aa45eee427f431747c76aac3b16e77ed ,2022-04-21 ,   998.6
aa45eee427f431747c76aac3b16e77ed ,2022-04-22 ,   998.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-17 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-18 ,   408.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-19 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-20 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-21 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-22 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-23 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-24 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-25 ,   478.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-26 ,   508.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-27 ,   458.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-29 ,   408.6
e0424289ca8f033393326c1c35f567e0 ,2022-04-30 ,   408.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-01 ,   408.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-02 ,   408.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-03 ,   408.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-04 ,   508.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-05 ,   508.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-06 ,   508.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-07 ,   588.6
e0424289ca8f033393326c1c35f567e0 ,2022-05-08 ,   998.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-17 ,   368.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-18 ,   368.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-19 ,   458.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-20 ,   538.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-21 ,   538.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-22 ,   458.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-23 ,   538.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-24 ,   458.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-25 ,   538.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-26 ,   458.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-27 ,   493.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-28 ,   458.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-29 ,   443.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-04-30 ,   508.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-01 ,   443.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-02 ,   508.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-03 ,   443.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-04 ,   998.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-05 ,   678.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-06 ,   678.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-07 ,   678.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-08 ,   678.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-09 ,   678.6
8838b2dbedec0d691a4b961840ce44c0 ,2022-05-10 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-04-17 ,   668.6
b18dd23975082787681909d39808f7fc ,2022-04-18 ,   668.6
b18dd23975082787681909d39808f7fc ,2022-04-19 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-20 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-21 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-22 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-23 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-24 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-25 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-26 ,   998.6
b18dd23975082787681909d39808f7fc ,2022-04-27 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-04-28 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-04-29 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-04-30 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-05-01 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-05-02 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-05-03 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-05-04 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-05-05 ,   568.6
b18dd23975082787681909d39808f7fc ,2022-05-06 ,   608.6
b18dd23975082787681909d39808f7fc ,2022-05-07 ,   678.6
b18dd23975082787681909d39808f7fc ,2022-05-08 ,   608.6
b18dd23975082787681909d39808f7fc ,2022-05-09 ,   608.6
b18dd23975082787681909d39808f7fc ,2022-05-10 ,   608.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-17 ,   368.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-18 ,   368.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-19 ,   368.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-20 ,   358.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-21 ,   358.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-22 ,   358.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-23 ,   318.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-24 ,   318.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-25 ,   318.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-26 ,   318.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-27 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-28 ,   378.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-29 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-04-30 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-01 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-02 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-03 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-04 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-05 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-06 ,   418.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-07 ,   608.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-08 ,   608.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-09 ,   608.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-10 ,   678.6
1cee64f6ec1214281cf3c9ed30dc3fde ,2022-05-11 ,   998.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-17 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-18 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-19 ,   668.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-20 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-21 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-22 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-23 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-24 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-25 ,   538.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-26 ,   548.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-27 ,   678.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-28 ,   678.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-29 ,   558.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-04-30 ,   558.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-01 ,   558.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-02 ,   558.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-03 ,   508.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-04 ,   568.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-05 ,   568.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-06 ,   568.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-07 ,   608.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-08 ,   608.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-09 ,   608.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-10 ,   608.6
81ec555466db8f493fe1315f7d7d8ec2 ,2022-05-11 ,   998.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-17 ,   368.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-18 ,   368.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-19 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-20 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-21 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-22 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-23 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-24 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-25 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-26 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-27 ,   493.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-28 ,   378.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-29 ,   378.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-04-30 ,   378.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-01 ,   378.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-02 ,   378.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-03 ,   378.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-04 ,   378.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-05 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-06 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-07 ,   458.6
6fd9110f03ea2a6d7632382d3d95d58b ,2022-05-08 ,   458.6
